#time,id,x[m],y[m],speed[m/s],heading,acc[m/s^2],lastX[pixel],lastY[pixel]
10.00,214,782.57,2.00,15.62,0.00,-0.22,798.84,505.19
10.00,215,774.56,0.00,16.17,0.00,0.08,750.82,519.57
10.00,216,764.36,1.00,16.49,0.00,-0.10,766.19,552.54
10.00,217,752.23,2.00,16.03,0.00,-0.24,776.87,592.47
10.00,218,741.87,0.00,16.28,0.00,0.13,723.66,601.77
10.00,219,730.89,1.00,16.42,0.00,-0.00,729.21,639.13
10.00,220,719.60,2.00,16.19,0.00,0.03,722.90,688.54
10.00,221,708.20,0.00,16.34,0.00,-0.07,674.82,675.97
10.00,222,697.29,1.00,16.35,0.00,0.09,670.61,713.25
10.00,223,683.31,2.00,16.01,0.00,-0.18,654.71,756.74
10.00,224,674.93,0.00,16.39,0.00,0.07,608.82,734.14
10.00,225,664.06,1.00,16.36,0.00,-0.00,595.34,768.77
10.00,226,650.94,2.00,16.07,0.00,-0.04,560.14,810.12
10.00,227,641.49,0.00,16.41,0.00,0.06,529.96,772.98
10.00,228,630.65,1.00,16.39,0.00,0.12,507.74,802.98
10.00,229,614.86,2.00,15.80,0.00,-0.01,466.34,833.25
10.00,230,607.64,0.00,16.33,0.00,-0.06,441.88,790.01
10.00,231,597.13,1.00,16.41,0.00,-0.07,413.89,812.90
10.00,232,583.54,2.00,15.82,0.00,0.00,361.12,830.43
10.00,233,574.51,0.00,16.41,0.00,0.14,355.53,783.45
10.00,234,563.56,1.00,16.48,0.00,0.16,320.62,797.81
10.00,235,548.34,2.00,15.62,0.00,-0.02,271.77,803.83
10.00,236,540.98,0.00,16.45,0.00,-0.07,271.89,753.90
10.00,237,530.42,1.00,16.38,0.00,-0.08,235.65,759.44
10.00,238,518.12,2.00,15.94,0.00,-0.14,193.58,757.67
10.00,239,507.41,0.00,16.36,0.00,-0.08,198.91,703.34
10.00,240,496.93,1.00,16.43,0.00,0.10,162.93,699.44
10.00,241,486.77,2.00,16.36,0.00,-0.20,126.65,691.69
10.00,242,474.13,0.00,16.40,0.00,-0.09,142.90,636.82
10.00,243,463.57,1.00,16.37,0.00,-0.10,108.74,622.82
10.00,244,453.57,2.00,16.75,0.00,-0.21,75.81,606.12
10.00,245,440.30,0.00,16.37,0.00,0.19,105.27,555.43
10.00,246,429.25,1.00,16.39,0.00,0.08,75.85,532.04
10.00,247,420.53,2.00,16.84,0.00,0.11,49.14,511.11
10.00,248,407.38,0.00,16.31,0.00,-0.02,90.77,470.19
10.00,249,396.36,1.00,16.31,0.00,-0.12,68.35,439.80
10.00,250,387.31,2.00,16.79,0.00,0.02,48.17,411.37
10.00,251,374.14,0.00,16.49,0.00,0.10,99.04,382.60
10.00,252,362.82,1.00,16.39,0.00,0.04,85.51,346.95
10.00,253,353.93,2.00,16.88,0.00,0.05,73.33,314.47
10.00,254,340.52,0.00,16.31,0.00,0.09,130.20,299.79
10.00,255,329.86,1.00,16.41,0.00,-0.00,125.54,263.27
10.00,256,320.61,2.00,16.87,0.00,0.05,122.95,227.91
10.00,257,307.01,0.00,16.31,0.00,-0.07,181.58,228.43
10.00,258,295.87,1.00,16.45,0.00,-0.01,188.14,190.90
10.00,259,287.00,2.00,16.83,0.00,0.02,193.83,156.99
10.00,260,273.29,0.00,16.33,0.00,-0.04,250.83,172.68
10.00,261,262.34,1.00,16.42,0.00,0.13,266.49,138.35
10.00,262,252.49,2.00,16.74,0.00,0.05,294.96,101.77
10.00,263,240.22,0.00,16.39,0.00,-0.05,330.92,137.56
10.00,264,228.78,1.00,16.40,0.00,0.10,355.97,108.20
