#time,id,x[m],y[m],speed[m/s],heading,acc[m/s^2],lastX[pixel],lastY[pixel]
3.00,21062,784.86,1.00,16.64,0.00,0.24,716.22,456.95
3.00,21063,771.83,2.00,15.31,0.00,-0.19,731.32,494.08
3.00,21064,761.87,0.00,16.12,0.00,0.06,684.51,509.30
3.00,21065,750.75,1.00,16.17,0.00,-0.02,694.95,542.61
3.00,21066,739.49,2.00,16.12,0.00,-0.06,701.53,578.66
3.00,21067,728.35,0.00,16.12,0.00,0.13,651.08,583.56
3.00,21068,717.23,1.00,16.13,0.00,0.20,652.42,618.42
3.00,21069,706.27,2.00,16.22,0.00,-0.08,649.79,654.38
3.00,21070,695.08,0.00,16.19,0.00,-0.06,599.72,646.03
3.00,21071,683.66,1.00,16.11,0.00,0.12,591.33,680.48
3.00,21072,672.69,2.00,16.21,0.00,0.15,569.92,720.34
3.00,21073,661.52,0.00,16.15,0.00,-0.08,533.25,693.23
3.00,21074,650.34,1.00,16.11,0.00,0.02,516.66,724.03
3.00,21075,638.94,2.00,15.90,0.00,-0.08,495.17,754.03
3.00,21076,627.92,0.00,16.09,0.00,0.11,456.63,721.29
3.00,21077,616.81,1.00,16.12,0.00,-0.09,432.66,746.61
3.00,21078,605.76,2.00,16.20,0.00,0.06,404.85,769.87
3.00,21079,594.60,0.00,16.15,0.00,0.09,375.95,728.21
3.00,21080,583.34,1.00,16.06,0.00,-0.01,345.84,746.33
3.00,21081,572.59,2.00,16.32,0.00,0.03,313.62,761.64
3.00,21082,561.26,0.00,16.16,0.00,-0.08,296.23,713.78
3.00,21083,549.84,1.00,16.07,0.00,0.13,262.07,723.24
3.00,21084,539.00,2.00,16.27,0.00,0.17,226.76,729.44
3.00,21085,527.78,0.00,16.14,0.00,0.09,222.80,678.83
3.00,21086,516.55,1.00,16.15,0.00,0.16,187.69,679.26
3.00,21087,505.57,2.00,16.21,0.00,-0.05,151.76,675.81
3.00,21088,494.12,0.00,16.10,0.00,0.21,160.83,625.51
3.00,21089,483.07,1.00,16.14,0.00,0.11,127.11,617.01
3.00,21090,471.87,2.00,16.18,0.00,0.11,87.41,594.22
3.00,21091,460.87,0.00,16.15,0.00,0.01,115.55,558.57
3.00,21092,449.47,1.00,16.06,0.00,-0.08,84.91,540.79
3.00,21093,437.92,2.00,15.76,0.00,0.07,55.32,518.26
3.00,21094,427.39,0.00,16.17,0.00,-0.01,89.20,481.60
3.00,21095,416.32,1.00,16.13,0.00,-0.13,64.40,457.22
3.00,21096,405.04,2.00,16.06,0.00,-0.10,41.66,417.32
3.00,21097,393.96,0.00,16.19,0.00,0.14,83.98,400.53
3.00,21098,382.73,1.00,16.11,0.00,0.09,66.50,370.13
3.00,21099,371.08,2.00,15.76,0.00,-0.22,52.41,335.49
3.00,21100,360.43,0.00,16.12,0.00,0.03,100.27,320.75
3.00,21101,349.20,1.00,16.12,0.00,0.18,91.41,286.78
3.00,21102,338.05,2.00,16.02,0.00,-0.09,91.89,241.18
3.00,21103,326.80,0.00,16.07,0.00,-0.04,137.10,247.85
3.00,21104,315.84,1.00,16.15,0.00,0.13,137.09,213.26
3.00,21105,304.06,2.00,15.74,0.00,-0.18,142.72,176.01
3.00,21106,293.37,0.00,16.08,0.00,0.18,191.50,187.53
